Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
HOXA13	7	27193503	27200106
NFATC2IP	16	28950807	28967097
CYP1A1	15	74719542	74725536
NPAS1	19	47019820	47045775
ATP8A2	13	25371974	26025851
PCDHA12	5	140875302	141012347
SREBF1	17	17810399	17837002
PPP2CA	5	134194332	134226073
ADRB1	10	114044056	114046908
NDRG3	20	36651766	36746090
KCNC1	11	17734774	17856804
PRRT1	6	32148359	32153083
RBM27	5	146203605	146289223
PRPF39	14	45084099	45116282
EXOSC8	13	36998816	37009614
GNL1	CHR_HSCHR6_MHC_MCF_CTG1	30619830	30635627
MROH6	CHR_HSCHR8_3_CTG7	143566187	143572971
TRIM8	10	102642310	102660680
ATPSCKMT	5	10225507	10249897
KIR3DL3	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54724448	54736134
RAD21L1	20	1226056	1296421
IL20RB	3	136946230	137011085
SRSF3	6	36594353	36605600
GLIS1	1	53506237	53738106
ZNF845	19	53333746	53356906
THOC5	22	29505879	29555216
KLHL15	X	23983720	24027186
ODF3L2	19	463346	474983
ADGRL1	19	14147743	14206187
NCOA3	20	47501887	47656877
NEU3	11	74988279	75018893
PRR3	CHR_HSCHR6_MHC_MCF_CTG1	30635339	30642176
IRX2	5	2745845	2751677
CDKL3	5	134286350	134371047
KRTAP9-4	CHR_HSCHR17_6_CTG4	41238317	41239283
RIPK1	6	3063991	3115187
AGER	CHR_HSCHR6_MHC_APD_CTG1	32247977	32251333
C5orf51	5	41904188	41921636
ATAT1	CHR_HSCHR6_MHC_COX_CTG1	30616685	30636664
KIF13A	6	17759183	17987635
TRIM40	CHR_HSCHR6_MHC_APD_CTG1	30128631	30141238
GAS2L1	22	29306582	29312785
DSEL	CHR_HSCHR18_2_CTG2	67576031	67586429
GSG1L2	17	9802386	9822071
DHRS7C	17	9771434	9791297
GOLGA6L1	15	23128268	23136822
PLEKHG4B	5	92151	189972
CRK	17	1420689	1463162
CDSN	6	31115087	31120446
ERBIN	5	65926475	66082549
PSORS1C2	6	31137534	31139066
PSORS1C1	6	31114750	31140092
NDUFAF1	15	41387353	41402519
OR11H1	22	15528159	15529139
KIR3DL1	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54814901	54878560
SH3GL2	9	17579066	17797124
KIR2DL4	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54833799	54844782
SALL3	CHR_HSCHR18_2_CTG2_1	78980275	79002678
NDUFA11	19	5891276	5904006
LRRC14B	5	191495	196334
KBTBD11	8	1973677	2006936
FUT5	19	5865826	5870540
ATP9B	CHR_HSCHR18_2_CTG2_1	79074837	79074964
ESD	13	46771256	46797161
THEMIS	CHR_HSCHR6_1_CTG8	127708072	127918597
CCDC127	5	196871	218215
RASL10A	22	29312933	29319679
TSPY4	Y	9337464	9340284
FRMD5	15	43870761	44195271
RTF1	15	41408408	41483563
TUBGCP5	CHR_HSCHR15_1_CTG3	22983146	23039654
TRIM10	CHR_HSCHR6_MHC_APD_CTG1	30144448	30153436
CELF5	19	3224661	3297076
MTMR6	13	25246201	25288009
KIR2DL1	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54798381	54812886
AHRR	5	271670	438291
FBXO4	5	41925254	41941743
RAD23B	9	107283137	107332192
ARHGAP28	18	6729718	6915716
POLE3	9	113407235	113410675
MTMR10	15	30938941	30991628
SDHA	5	218241	257082
CYP7B1	8	64587763	64798737
USP18	22	18149899	18177397
C9orf43	9	113410054	113429684
FBXO22	15	75903876	75942511
KLF2	19	16324817	16327874
ATP2B2	3	10324023	10708007
HTR2A	13	46831550	46897076
CDH7	18	65750252	65890337
ITPKA	15	41493393	41503551
ITPK1	CHR_HSCHR14_7_CTG1	92936914	93116320
FAN1	15	30903852	30943108
ZADH2	18	75195113	75209139
AHRR	5	321759	435110
CES5A	CHR_HSCHR16_1_CTG3_1	55843031	55952925
RUNX2	6	45328157	45664349
KIR2DS5	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54766539	54781397
NRG4	15	75935969	76059795
OR2K2	9	111327483	111330183
LYRM7	5	131170944	131205428
PDCD6	5	271621	314974
HINT1	5	131159027	131171735
TRIM40	CHR_HSCHR6_MHC_MCF_CTG1	30214604	30227224
GLP2R	17	9822206	9892099
C6orf52	6	10671418	10694797
EVA1C	21	32412006	32515397
LILRB5	CHR_HSCHR19LRC_PGF1_CTG3_1	54251026	54258210
SUPT3H	6	44809317	45377953
TAS2R7	CHR_HSCHR12_2_CTG2	10801532	10802627
MST1R	3	49887002	49903873
TAS2R8	CHR_HSCHR12_2_CTG2	10806051	10807293
TAS2R9	CHR_HSCHR12_2_CTG2	10809137	10810168
KIR2DL3	CHR_HSCHR19LRC_PGF1_CTG3_1	54668491	54683019
PAXBP1	CHR_HSCHR21_3_CTG1_1	32769814	32771858
C13orf42	13	51082119	51200252
GJA3	13	20138255	20161052
TARS	5	33440696	33469539
MIF	CHR_HSCHR22_1_CTG7	23894004	23895227
APOBEC3H	22	39097224	39104067
LILRA3	CHR_HSCHR19LRC_COX1_CTG3_1	54294163	54306461
MCIDAS	5	55219614	55227315
SPATC1L	21	46161148	46184476
CDH6	5	31193686	31329146
TNF	CHR_HSCHR6_MHC_DBB_CTG1	31557707	31560476
SLC2A11	CHR_HSCHR22_1_CTG7	23856703	23886309
EPPK1	8	143857324	143878464
ANKRD46	8	100509752	100559784
ARSA	22	50622754	50628173
PDE8A	15	84980440	85139145
RANBP3	19	5916139	5978142
C21orf62	CHR_HSCHR21_3_CTG1_1	32793564	32813728
GATA4	8	11676959	11760002
APPL1	3	57227726	57278105
ZNF346	5	177022696	177081189
CD276	15	73683966	73714514
MOB2	11	1469457	1501247
CTDP1	CHR_HSCHR18_3_CTG2_1	79685555	79723770
SLC10A2	13	103043998	103066846
NEFL	8	24950955	24957110
GJB2	13	20187463	20192938
AP1B1	22	29327680	29423179
GRIK1	21	29536933	29940033
LTB	CHR_HSCHR6_MHC_DBB_CTG1	31562695	31564662
PDE4C	19	18208652	18248200
MON1A	3	49907160	49930173
LARS	5	146113034	146182650
FAM207A	21	44940012	44976989
TEFM	17	30897336	30906238
KIR2DS4	CHR_HSCHR19LRC_PGF1_CTG3_1	54762712	54778593
CCNO	5	55231152	55233608
SHPK	17	3608262	3636322
KIR2DL1	CHR_HSCHR19LRC_PGF1_CTG3_1	54699775	54714233
CBX7	22	39120167	39152680
POTEH	22	15690026	15721631
TRPV1	17	3565444	3609411
LY6G5C	CHR_HSCHR6_MHC_MANN_CTG1	31716138	31723494
GSTA3	6	52896639	52909698
DHX29	5	55256055	55307694
ASB14	3	57268347	57292682
PEMT	17	17505563	17591708
HSFY2	Y	18731440	18773735
RNF39	CHR_HSCHR6_MHC_COX_CTG1	30060156	30065777
ANKRD20A3	9	66106815	66153135
KIR3DL1	CHR_HSCHR19LRC_PGF1_CTG3_1	54746462	54760779
TSHZ1	18	75210755	75289950
TRIM10	CHR_HSCHR6_MHC_MCF_CTG1	30230427	30239418
TBC1D2B	15	77984036	78077724
PPP1R11	CHR_HSCHR6_MHC_COX_CTG1	30056599	30060223
RLN3	19	14028148	14031042
CSTF3	11	33077188	33162371
KALRN	3	124080023	124726325
ACLY	17	41866917	41930542
SMIM21	18	75409476	75427703
UBL5	19	9827892	9830115
TAS2R14	CHR_HSCHR12_2_CTG2	10937406	11203521
TAS2R19	CHR_HSCHR12_2_CTG2	11021619	11022620
LILRA5	CHR_HSCHR19LRC_COX1_CTG3_1	54314131	54327636
TAS2R10	CHR_HSCHR12_2_CTG2	10825317	10826358
TAS2R46	CHR_HSCHR12_2_CTG2	11061365	11062294
TAS2R50	CHR_HSCHR12_2_CTG2	10985913	10986912
PRR4	CHR_HSCHR12_2_CTG2	10824960	11203561
TCP11L1	11	33039417	33105943
CDH19	18	66501083	66604138
TNNC1	3	52451102	52454070
ABLIM3	5	149141483	149260542
MICAL2	11	12094008	12359144
PLAC8L1	5	146084313	146105577
BACH1	21	29194071	29630751
FAM124A	13	51222334	51284241
SULT1B1	4	69721167	69787961
COL7A1	3	48564073	48595267
NFKBIL1	CHR_HSCHR6_MHC_MANN_CTG1	31586326	31598283
N4BP2L2	13	32432417	32538885
MYD88	3	38138478	38143022
XPC	3	14145147	14178783
TAS2R13	CHR_HSCHR12_2_CTG2	10907926	10909562
PRH2	CHR_HSCHR12_2_CTG2	10929236	10932341
KIR2DL4	CHR_HSCHR19LRC_PGF1_CTG3_1	54733566	54744515
ATP10A	15	25677273	25865172
ULBP2	6	149942014	149949235
LSS	21	46188141	46228824
TMEM184B	22	38219291	38273010
POLA2	11	65261920	65305589
TAS2R31	CHR_HSCHR12_2_CTG2	11030387	11031407
COQ4	9	128322544	128334072
TAS2R43	CHR_HSCHR12_2_CTG2	11091308	11092334
ULBP1	6	149963943	149973715
TAS2R30	CHR_HSCHR12_2_CTG2	11164906	11166592
C6orf136	6	30647039	30653210
TAS2R20	CHR_HSCHR12_2_CTG2	10996495	10997875
CLCNKB	1	16043736	16057308
PPFIBP2	11	7513298	7657127
ZFAND1	8	81701334	81732903
PADI1	1	17205128	17246007
CAMP	3	48223347	48225491
VMAC	19	5904858	5910853
PDPN	1	13583465	13617957
N4BP2L1	13	32400723	32428311
CAPS	19	5911375	5915877
ANKRD1	10	90912096	90921276
ZFHX4	8	76681219	76867285
ACTRT3	3	169766921	169769561
SERPINF2	17	1742836	1755268
MMUT	6	49430360	49463253
PFKL	21	44300051	44327376
LSM3	3	14178817	14201122
KIR2DL5B	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54755098	54764695
APH1B	15	63276018	63309126
OSCAR	CHR_HSCHR19_4_CTG3_1	54094679	54102746
UBXN2A	2	23927285	24004909
CCND3	6	41934933	42050357
MPLKIP	7	40126023	40134652
TMEM43	3	14124940	14143679
DHX16	6	30653119	30673006
CDC42EP2	11	65314866	65322417
DDX1	2	15591178	15631111
RHOT2	16	668105	674174
ADAM2	CHR_HSCHR8_9_CTG1	39588691	39683242
ACTG1	17	81509971	81523847
GTF2H4	CHR_HSCHR6_MHC_MCF_CTG1	30986738	30992660
CD40	20	46118272	46129863
CYS1	2	10056780	10080944
KIAA0319	6	24544104	24646191
BPHL	6	3118374	3153578
CAPN13	2	30722771	30820542
ARMC1	8	65602458	65634217
CHL1	3	196763	409417
GH2	17	63880215	63881944
DAOA	13	105465867	105491034
MLH3	14	75013764	75051532
RASSF1	3	50329782	50340980
ZNF430	CHR_HSCHR19_1_CTG2	21027036	21043218
TMEM17	2	62500218	62511894
PCM1	8	17922840	18029944
ADGB	6	146598967	146815462
AHCY	20	34280268	34311802
GATA5	20	62463497	62475995
SEMA5A	5	9035033	9546075
ZNF311	CHR_HSCHR6_MHC_QBL_CTG1	28994770	29005301
RFC1	4	39287456	39366375
MRPL38	17	75898643	75905413
SIX1	14	60643414	60658259
AFAP1L1	5	149271859	149343637
CIRBP	19	1259384	1274880
ARHGEF7	13	111114559	111305737
PBX2	CHR_HSCHR6_MHC_APD_CTG1	32251742	32257192
ASIP	20	34194569	34269344
TSPY8	Y	9357797	9360599
TRIM15	CHR_HSCHR6_MHC_MCF_CTG1	30241686	30251176
CTSC	11	88293592	88337761
IL27RA	19	14031762	14053218
DMRT2	9	1049858	1057552
KRTAP5-1	11	1584342	1585283
MB21D2	3	192796815	192917856
KRTAP5-2	11	1597177	1598294
MYOM2	8	2045046	2165552
DUSP8	11	1554051	1572271
C15orf40	15	82988441	83011641
RNF216	7	5620047	5781739
ANTXRL	10	46286345	46330207
FAM76B	11	95768953	95790409
TMEM241	18	23197144	23437961
WDR18	19	984271	998438
GPR63	6	96794125	96837477
TRIM15	CHR_HSCHR6_MHC_APD_CTG1	30155693	30165183
FBF1	17	75909574	75941140
C20orf194	20	3249305	3407625
NDUFAF4	6	96889315	96897891
PALM3	19	14053365	14059159
FAM110A	20	833715	857463
SIX4	14	60709539	60724351
KIAA1109	4	122152333	122362758
ECPAS	9	111360692	111484745
CALM1	14	90396502	90408268
AGXT2	5	34998101	35048135
HOMER2	15	82836946	82986153
POPDC3	6	105157900	105180014
SERPINE3	13	51335773	51364735
PRXL2C	9	96639577	96655317
FARS2	6	5261044	5829192
PEX3	6	143450805	143490616
MRPL34	19	17292609	17306843
KIR2DL3	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54738530	54753070
BVES	6	105096822	105137157
PCGF5	10	91163012	91284337
CEBPG	19	33373685	33382686
FABP2	4	119317250	119322390
ABHD8	19	17292131	17310236
INTS6	13	51354077	51454264
RPGRIP1	14	21287939	21351301
RPL17-C18orf32	18	49481681	49492479
MISP3	19	14072536	14075062
SULT1E1	4	69841212	69860145
PDHB	3	58427630	58433857
ANKFY1	17	4163821	4263995
DDA1	19	17309518	17323298
MYNN	3	169772831	169789716
KIR3DL3	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54727609	54736462
RUBCN	3	197668867	197749727
CEP57	11	95789965	95832693
WFDC8	20	45551153	45579326
FUCA2	6	143494811	143511690
PAPSS1	4	107590276	107720234
SKOR1	15	67819704	67834555
ANKRD26	10	26991914	27100498
BTBD1	15	83016422	83067354
RPL17	18	49488453	49492523
ANO8	19	17323223	17334855
ZNF589	3	48241100	48299253
SI	3	164978898	165078496
ENY2	8	109334324	109345954
CSH1	17	63894909	63896661
CDKL4	2	39175646	39229588
SLC2A4	17	7281667	7288257
PLPP2	19	281040	291403
DDX52	17	37609739	37643446
PCBP4	3	51957454	51974016
NME6	3	48290722	48301685
PPM1N	19	45488777	45502510
PRR3	CHR_HSCHR6_MHC_SSTO_CTG1	30549106	30555943
ADAP2	17	30906344	30959322
CDC42SE2	5	131245493	131398447
CCNA1	13	36431520	36442870
FYTTD1	3	197737179	197787596
TRIM74	7	72959485	72969466
HLA-B	CHR_HSCHR6_MHC_QBL_CTG1	31259328	31347305
RAMAC	15	82986210	82991057
IL12A	3	159988835	159996019
HECTD2	10	91409280	91514829
CHMP4C	8	81732448	81759515
GNL1	CHR_HSCHR6_MHC_SSTO_CTG1	30533598	30549394
SCGB1C2	17	137526	139067
WFDC9	20	45607939	45631268
TMEM39B	1	32072031	32102866
KIR3DL2	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54849551	54866326
WFDC10A	20	45629739	45631196
CSHL1	17	63909597	63918838
DOLPP1	9	129081111	129090438
GSTA4	6	52977948	52995304
CEACAM21	19	41549518	41586844
DSEL	18	67506587	67516720
GSDMD	CHR_HSCHR8_3_CTG7	143553207	143563062
UPF1	19	18831938	18868236
TRIM26	CHR_HSCHR6_MHC_QBL_CTG1	30173958	30202936
YBX2	17	7288263	7294639
NPIPA8	16	18317942	18336736
GJB6	13	20221962	20232365
PLEKHS1	10	113751262	113783429
DOC2B	17	142789	181650
RTN2	19	45485294	45497055
CYB5D2	17	4143168	4187310
PPCDC	15	75023586	75117462
CABLES1	18	23134564	23260467
MED18	1	28329002	28335965
GH1	17	63917200	63918839
IGFL1	19	46229742	46231243
NOP56	20	2652593	2658393
CFAP298	21	32592079	32612603
CLPTM1L	CHR_HSCHR5_3_CTG1	1318299	1345099
DMBX1	1	46506996	46514226
KLB	4	39406930	39451533
OR2H1	CHR_HSCHR6_MHC_COX_CTG1	29453753	29460899
ITGA8	10	15513954	15719922
METTL2A	17	62423867	62450822
CLEC11A	19	50723364	50725718
SYNJ2BP-COX16	14	70326064	70417074
SALL3	CHR_HSCHR18_ALT2_CTG2_1	78980275	79002677
JAK2	9	4984390	5128183
PTPRF	1	43525187	43623666
GHR	5	42423439	42721878
WEE1	11	9573670	9593457
LRRC74B	22	21045960	21064168
KHDRBS1	1	32013868	32060850
KTN1	14	55559072	55701526
ANGPT4	20	869900	916334
EML6	2	54723499	54972025
MNAT1	14	60734742	60969965
SYNJ2BP	14	70366499	70417090
CD79B	17	63928740	63932354
FGFR4	5	177086905	177098144
C19orf67	19	14081619	14085875
SIRT5	6	13574529	13615158
COX16	14	70325081	70359700
CLDN9	16	3012923	3014505
FAM131C	1	16057769	16073651
IFNGR2	CHR_HSCHR21_4_CTG1_1	33410836	33488905
RCVRN	17	9896320	9905621
RUNX1	21	34787801	36004667
MFGE8	15	88898683	88913381
ZNF175	19	51571283	51592510
SBSN	19	35523367	35528351
PHF2	9	93576584	93679587
KCNT1	9	135702185	135795508
CCL19	9	34689570	34691276
SUGCT	7	40134977	40860763
CLDN6	16	3014712	3020071
TGFBI	5	136028988	136063818
MFSD2B	2	24010081	24063321
KIR2DS4	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54832694	54847510
ELMOD1	11	107591091	107666779
DECR2	16	401858	412487
TCP10L	21	32573721	32587373
KIR3DL1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54816442	54830745
CCL21	9	34709005	34710136
HSD17B1	17	42549214	42555213
TNFRSF12A	16	3018445	3022383
SERPINF1	17	1762029	1777565
ZNF516	18	76357682	76495242
TRMT5	14	60971451	60981358
FOXL2	3	138944224	138947137
FOXL2NB	3	138947217	138953990
FAM205A	9	34723055	34729467
RYBP	3	72371825	72446621
ARHGEF28	5	73626158	73941993
SLC38A6	14	60981114	61083733
FKBP1B	2	24049701	24063681
DAZL	3	16586792	16670306
LHFPL4	3	9498361	9553822
INSL6	9	5123880	5185647
TPTE	21	10521553	10606140
PAN3	13	28138506	28295335
COASY	17	42561467	42566277
C6orf47	CHR_HSCHR6_MHC_QBL_CTG1	31648523	31650997
SLCO4A1	20	62642503	62685785
PAK1IP1	6	10694972	10709782
OR2W1	CHR_HSCHR6_MHC_QBL_CTG1	29044198	29045225
TMEM50B	CHR_HSCHR21_4_CTG1_1	33432485	33489568
SERTM1	13	36674020	36697839
ABHD18	4	127965306	128039927
DIS3L	15	66293217	66333898
CHST12	7	2403588	2448484
TMEM38A	19	16661139	16690023
TDP2	6	24649979	24666930
NPIPB7	16	28456372	28471175
FBXO9	6	53051991	53100873
CASC4	15	44288719	44415758
GRIFIN	7	2474844	2476894
APOBR	16	28494643	28498970
SLC25A39	17	44319625	44324870
WDCP	2	24029347	24049575
NUP58	13	25301556	25349800
KRT37	CHR_HSCHR17_1_CTG4	41428078	41431848
SUFU	10	102503987	102633535
SIGLEC5	19	51611927	51645545
INSYN1	15	73735431	73752747
SIGLEC14	19	51642553	51646801
MAS1L	CHR_HSCHR6_MHC_COX_CTG1	29483337	29484473
RPS6KB1	17	59893046	59950574
RAB2A	8	60516936	60623644
CLN3	16	28474111	28495575
TTBK2	15	42738730	42920809
MFSD8	4	127917732	127966034
ABHD14A-ACY1	3	51974706	51989183
TRIM26	CHR_HSCHR6_MHC_MCF_CTG1	30262891	30291774
C18orf32	18	49477250	49487252
SCG5	15	32641676	32697098
MIER2	19	301444	344815
CABIN1	22	24011192	24178628
NAGLU	17	42536241	42544449
ATP13A4	3	193398967	193593111
ANKHD1-EIF4EBP3	5	140401908	140549569
SPDYE8P	7	73020338	73029766
NCR3	CHR_HSCHR6_MHC_MCF_CTG1	31665195	31669285
TRIM27	CHR_HSCHR6_MHC_APD_CTG1	28902993	28923981
FSCB	14	44504342	44507279
KRTAP5-3	11	1607565	1608463
NME4	16	396725	410367
KRTAP5-4	11	1620958	1622138
ST6GALNAC1	17	76624761	76643786
TGFBR2	3	30606502	30694142
KIR2DL1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54769748	54784069
KRTAP5-5	11	1629775	1630707
PPP2R5B	11	64917553	64934475
LTK	15	41503637	41513887
AKIRIN2	6	87674860	87702233
C14orf28	14	44897275	44907257
ANK3	10	60026298	60733490
ICK	6	53001279	53061802
FAM205C	9	34889066	34895764
TLCD2	CHR_HSCHR17_1_CTG2	1702790	1710438
RPL30	8	98024851	98046469
ZNF30	19	34926903	34945170
DOCK5	8	25184689	25418082
KLF4	9	107484852	107490482
LRRC34	3	169793428	169812986
KIR2DL4	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54803533	54814482
CENPQ	6	49463370	49493107
LST1	CHR_HSCHR6_MHC_APD_CTG1	31653110	31655895
TAPBP	CHR_HSCHR6_MHC_COX_CTG1	33221298	33235989
GPHA2	11	64934471	64935893
EIF4EBP3	5	140547662	140549576
LTA	CHR_HSCHR6_MHC_MANN_CTG1	31611502	31613772
LST1	CHR_HSCHR6_MHC_MCF_CTG1	31662426	31665209
KRT40	CHR_HSCHR17_4_CTG4	40977843	40987262
ANKHD1	5	140401814	140539856
ATP9B	CHR_HSCHR18_ALT2_CTG2_1	79072883	79091276
PADI3	1	17249098	17284233
GLYATL3	6	49499923	49528078
PRKCB	16	23835946	24220611
MATN2	8	97868840	98036724
RXFP1	4	158315311	158653372
SLF1	5	94618669	94739436
TBC1D21	15	73873564	73889214
KRTAP3-3	CHR_HSCHR17_4_CTG4	40993557	40994260
PSD3	8	18527303	19084730
KRTAP3-2	CHR_HSCHR17_4_CTG4	40999320	41000021
SMTN	22	31064105	31104757
DUSP22	6	291630	351355
WASHC1	9	14475	73865
PPP1R18	CHR_HSCHR6_MHC_QBL_CTG1	30665910	30677416
SHANK3	22	50674415	50733298
HRASLS	3	193241125	193277738
OTOG	11	17547373	17647150
RNFT1	17	59952240	59964761
CHD6	20	41402083	41618384
LFNG	7	2512529	2529177
TUBB2A	6	3153666	3157544
ATP13A5	3	193274790	193378843
UBD	CHR_HSCHR6_MHC_MCF_CTG1	29555423	29559736
RAET1L	6	150018334	150025532
LY6G5C	CHR_HSCHR6_MHC_DBB_CTG1	31658863	31666220
OR2H2	CHR_HSCHR6_MHC_MCF_CTG1	29587257	29588840
ABHD14A	3	51971426	51981199
GABBR1	CHR_HSCHR6_MHC_MCF_CTG1	29555423	29632960
TMEM14C	6	10722915	10731129
TSPY3	Y	9398421	9401223
PADI4	1	17308195	17364004
GABBR1	CHR_HSCHR6_MHC_COX_CTG1	29552212	29629760
MCTP1	5	94703741	95284575
RGS3	9	113444731	113597743
PDGFB	22	39223359	39244751
ABHD14B	3	51968510	51983409
ADARB1	21	45073853	45226560
DEUP1	11	93329971	93438487
KRTAP3-1	CHR_HSCHR17_4_CTG4	41008648	41019451
PHF24	9	34957608	34982544
KRTAP1-5	CHR_HSCHR17_4_CTG4	41026153	41027329
TOGARAM1	14	44962190	45074431
NISCH	3	52455118	52493068
PDE7A	8	65717510	65842322
MAJIN	11	64937517	64972108
ZNF510	9	96755865	96778129
HTR1A	5	63960356	63962507
MAPRE1	20	32819954	32850405
MED15	22	20495913	20587632
WDR37	10	1049538	1132384
GOLGA8S	15	23354748	23367231
ZBTB22	CHR_HSCHR6_MHC_COX_CTG1	33236020	33239546
HLA-C	CHR_HSCHR6_MHC_QBL_CTG1	31258588	31261959
RSPO4	20	958452	1002311
RFPL1	22	29438583	29442455
TRPT1	11	64223799	64226254
ACY1	3	51983340	51989197
PIN1	19	9835257	9849682
TRIT1	1	39838110	39883511
ULBP3	6	150061053	150069121
NEFH	22	29480230	29491390
CACNA1A	19	13206442	13633025
ABHD16A	CHR_HSCHR6_MHC_MANN_CTG1	31726403	31742871
MRPL36	5	1798385	1801366
C15orf41	15	36579626	36810248
MXRA7	17	76672551	76711016
RHOBTB2	8	22987417	23020199
EPHA2	1	16124337	16156069
KLHL28	14	44924319	45042322
PADI6	1	17372196	17401699
GAS7	17	9910609	10198551
NCR3	CHR_HSCHR6_MHC_APD_CTG1	31655881	31659971
TRIM26	CHR_HSCHR6_MHC_APD_CTG1	30176913	30205889
SAXO1	9	18858906	19049358
KIR3DL3	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54724507	54736522
BATF2	11	64987945	64997018
TRIM39	CHR_HSCHR6_MHC_QBL_CTG1	30315961	30333218
MMS19	10	97458324	97498794
ADAMTSL1	9	17906563	18910950
RCC2	1	17406760	17439677
HOPX	4	56647988	56681899
KRTAP1-4	CHR_HSCHR17_4_CTG4	41029824	41030231
KRTAP1-3	CHR_HSCHR17_4_CTG4	41034011	41034982
SLC6A12	12	190077	214570
KRTAP1-1	CHR_HSCHR17_4_CTG4	41040684	41041586
LRRC3C	17	39941474	39944734
KRTAP2-1	CHR_HSCHR17_4_CTG4	41046666	41047441
NELFA	4	1982714	2041903
LLGL1	17	18225635	18244875
EGR3	8	22687659	22693480
TRPA1	8	72019917	72075584
FERMT3	11	64206678	64223886
TMC8	17	78130770	78142968
GSDMA	17	39953263	39977766
BDP1	CHR_HSCHR5_1_CTG1_1	70780935	70893131
TMEM275	1	46532166	46543969
ISX	22	35066136	35087387
KNCN	1	46545644	46551527
TNFRSF10B	8	23020133	23069031
HCFC1R1	16	3022620	3024286
LHX2	9	124001670	124033301
PPP1R14C	6	150143044	150250392
MOB3C	1	46607715	46616891
MTFR1	8	65644734	65771261
TUBB4A	19	6494319	6502848
MKNK1	1	46557408	46616843
KRTAP2-3	CHR_HSCHR17_4_CTG4	41059470	41060344
MBL2	10	52765380	52771700
MSC	8	71841549	71844468
KRTAP2-4	CHR_HSCHR17_4_CTG4	41065346	41066109
TSPY1	Y	9466955	9469748
KRT31	CHR_HSCHR17_1_CTG4	41401024	41404892
KIR2DL3	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54738484	54752990
C4B	CHR_HSCHR6_MHC_COX_CTG1	31969570	31983859
TMC6	17	78110458	78132407
FLII	17	18244815	18258738
GGTLC3	22	18516344	18518161
RPP21	CHR_HSCHR6_MHC_QBL_CTG1	30318794	30336373
RFXAP	13	36819224	36829104
SNX15	11	65027439	65040572
SAMD1	19	14087840	14091036
NUDT22	11	64225941	64230686
CEACAM4	19	41618971	41627074
ACOT13	6	24667035	24705065
KIR2DL3	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54738499	54753027
ZMYND10	3	50341110	50345732
C6orf62	6	24704861	24719998
NRN1	6	5997999	6007605
MMP25	16	3046561	3060726
SSU72P5	11	4233288	4233872
CEACAM7	19	41673303	41706976
ZNF782	9	96816472	96875623
STXBP5	6	147204425	147390476
SNX31	8	100572889	100663415
ACSBG1	15	78167468	78245688
PSMG4	6	3231403	3303373
SRA1	5	140537340	140558252
SHQ1	3	72749277	72861914
SSU72P2	11	4242056	4242640
DNAJC4	11	64230278	64234286
SSU72P4	11	4287499	4288083
TTYH1	CHR_HSCHR19LRC_COX1_CTG3_1	54347370	54369057
KIR2DL4	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54803411	54814521
SSU72P3	11	4329865	4330449
SSU72P7	11	4338660	4339244
APCDD1	18	10454635	10489949
WFDC11	20	45648563	45670270
OR52B4	11	4367263	4368386
PEBP4	8	22713251	23000000
SMAD9	13	36844831	36920765
TUBB2B	6	3224277	3231730
ACRBP	12	6638075	6647433
CEBPD	8	47736909	47739086
ARL2	11	65014160	65022184
C6orf141	6	49550646	49561907
ZNF563	19	12317477	12333720
AOC2	17	42844580	42850707
ST6GAL1	3	186930502	187078553
SELENOP	5	42799880	42887392
TRIM21	11	4384897	4393702
SLC22A23	6	3268962	3457022
THOC6	16	3024027	3027755
SPACA1	6	88047841	88066838
FAM166B	9	35561831	35563899
KRTAP5-6	11	1697195	1697755
DAG1	3	49468703	49535618
ESRP1	8	94641074	94707466
C15orf39	15	75195643	75212169
TMEM147	19	35545600	35547526
SH2D7	15	78077808	78104909
GOLGA6L1	CHR_HSCHR15_1_CTG3	23131736	23140290
ARL2-SNX15	11	65014182	65040570
ZNF792	19	34956354	34964229
